"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBL5.11",2.52323204129085e-12,-0.274908127694339,0.35,0.412,4.66520372114266e-08,"13","UBL5"
"SUMO2.10",2.90229774308114e-12,-0.258991607047156,0.245,0.324,5.36605829718272e-08,"13","SUMO2"
"ENO1.10",3.45221761843312e-12,-0.44271461593198,0.4,0.453,6.382805154721e-08,"13","ENO1"
"ERH.10",3.49012535100364e-12,-0.253108403598249,0.204,0.285,6.45289276147063e-08,"13","ERH"
"PPA1.10",3.50536845644452e-12,-0.281772292525237,0.166,0.247,6.48107573912027e-08,"13","PPA1"
"NDUFS5.9",3.71903649695987e-12,-0.253953732018728,0.284,0.361,6.87612657922911e-08,"13","NDUFS5"
"NCL.10",6.37431446524228e-12,-0.516981115162108,0.366,0.421,1.17854700147864e-07,"13","NCL"
"UBB.10",1.04611011564129e-11,-0.301628955780592,0.394,0.446,1.93415299280919e-07,"13","UBB"
"RPS12.10",1.77177748183247e-11,-0.301162207127041,0.963,0.791,3.27583938616005e-07,"13","RPS12"
"CFL1.11",2.47700075370708e-11,-0.365128430388051,0.487,0.507,4.57972669352902e-07,"13","CFL1"
"MYL6.11",3.22954305920382e-11,-0.375422178517019,0.584,0.576,5.97110216216194e-07,"13","MYL6"
"TRMT112.10",3.44095567414951e-11,-0.28134900030774,0.268,0.336,6.36198294593502e-07,"13","TRMT112"
"IL8.10",5.25529871186944e-11,-0.519448997005185,0.175,0.256,9.71652178837541e-07,"13","IL8"
"HSP90AB1.11",5.75745452331264e-11,-0.635926128138944,0.495,0.51,1.06449576681527e-06,"13","HSP90AB1"
"EMP3.11",6.28842828195908e-11,-0.261271412226103,0.337,0.396,1.16266750505141e-06,"13","EMP3"
"COX6B1.10",1.06352735704838e-10,-0.288408436387861,0.376,0.43,1.96635573044674e-06,"13","COX6B1"
"ACTG1.10",1.49670952926442e-10,-0.379752171594051,0.418,0.458,2.76726624865698e-06,"13","ACTG1"
"RPL39.10",1.64699671193991e-10,-0.2510701700531,0.957,0.772,3.04513222070569e-06,"13","RPL39"
"PSME1.10",2.11289617756034e-10,-0.344260100512394,0.423,0.459,3.9065337426913e-06,"13","PSME1"
"LDHA.10",2.16793782098103e-10,-0.346210693937977,0.309,0.37,4.00830023721183e-06,"13","LDHA"
"TCEB2.11",2.4666989042666e-10,-0.311761432830447,0.406,0.446,4.56067960409851e-06,"13","TCEB2"
"SLC25A6.9",3.61145777372378e-10,-0.281161723782985,0.333,0.389,6.6772242778379e-06,"13","SLC25A6"
"SH3BGRL3.11",3.66639504752994e-10,-0.322344627010722,0.433,0.456,6.7787978033781e-06,"13","SH3BGRL3"
"RPL13A.10",5.84262350567416e-10,-0.271884362094936,0.967,0.821,1.08024265996409e-05,"13","RPL13A"
"RPL36.10",7.08557801041514e-10,-0.270429592284884,0.963,0.81,1.31005251834565e-05,"13","RPL36"
"RPS15.10",9.92892589016262e-10,-0.266496789845122,0.967,0.804,1.83575910783217e-05,"13","RPS15"
"H3F3B.10",1.4064771289797e-09,-0.371370073055657,0.536,0.54,2.60043556377057e-05,"13","H3F3B"
"RPLP2.10",1.66319953552505e-09,-0.257509963809244,0.97,0.809,3.07508962123226e-05,"13","RPLP2"
